CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A001;A002;A002_04;A003_01;A004;A005_01;A006_01;A007;A007_01;A007_02;A007_03;A007_04;A007_05;A007_06;A007_07;A101_01;A102_01;A103_01;A104_01;A105_01;A106_01;A107_01;A108_01;A109_01;A110_01;A111_01;A112_01;A113_01;A114_01;A115_01;A177_01;A201;A201_01;A201_04;A201_02;A201_05;A201_03;A201_06;A202;A202_01;A202_04;A202_02;A202_05;A202_03;A202_06;A203;A203_01;A203_04;A203_02;A203_05;A203_03;A203_06;A204;A204_01;A204_04;A204_02;A204_05;A204_03;A204_06;RG01_CP;RG01;RG09_01;RG09_02;RG09_03;RG09_04;RG09_05;RG09_06;RG09_07;RG09_08;RG09_09;RG09_10;RG09_11;RG09_12;RG09_13;RG09_14;RG09_15;V101_01;V101_02;V101_03;V101_04;V101_05;V101_06;V101_07;V101_08;V101_09;V101_10;V101_11;V101_12;V101_13;V101_14;V101_15;V102_01;V102_02;V102_03;V102_04;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME018;TIME019;TIME020;TIME021;TIME022;TIME_SUM;MAILSENT;LASTDATA;STATUS;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI
Interview number (sequential);Serial number (if provided);Reference (if provided in link);Questionnaire that has been used in the interview;Interview mode;Time the interview has started (Europe/Berlin);Age;Gender;Gender: Not listed;Experience: My experience can be described as;Knows Magic;Time Playing Magic: I have played MTG for;English Understanding: [No Description] 01;MTG formats: Residual option (negative) or number of selected options;MTG formats: Standard;MTG formats: Pioneer;MTG formats: Modern;MTG formats: Legacy;MTG formats: Pauper;MTG formats: Commander;MTG formats: Limited;01_Perceived Card Strength: I think the card is;02_Perceived Card Strength: I think the card is;03_Perceived Card Strength: I think the card is;04_Perceived Card Strength: I think the card is;05_Perceived Card Strength: I think the card is;06_Perceived Card Strength: I think the card is;07_Perceived Card Strength: I think the card is;08_Perceived Card Strength: I think the card is;09_Perceived Card Strength: StreI think the card is;10_Perceived Card Strength: I think the card is;11_Perceived Card Strength: I think the card is;12_Perceived Card Strength: I think the card is;13_Perceived Card Strength: I think the card is;14_Perceived Card Strength: I think the card is;15_Perceived Card Strength: I think the card is;Final Comments: [01];01_Card Description: Residual option (negative) or number of selected options;01_Card Description: cute;01_Card Description: mighty;01_Card Description: friendly;01_Card Description: heroic;01_Card Description: harmless;01_Card Description: powerful;02_Card Description: Residual option (negative) or number of selected options;02_Card Description: cute;02_Card Description: mighty;02_Card Description: friendly;02_Card Description: heroic;02_Card Description: harmless;02_Card Description: powerful;03_Card Description: Residual option (negative) or number of selected options;03_Card Description: cute;03_Card Description: mighty;03_Card Description: friendly;03_Card Description: heroic;03_Card Description: harmless;03_Card Description: powerful;04_Card Description: Residual option (negative) or number of selected options;04_Card Description: cute;04_Card Description: mighty;04_Card Description: friendly;04_Card Description: heroic;04_Card Description: harmless;04_Card Description: powerful;Groups: Complete clearances of the ballot, yet;Groups: Code drawn;StimuliOrder: 1;StimuliOrder: 2;StimuliOrder: 3;StimuliOrder: 4;StimuliOrder: 5;StimuliOrder: 6;StimuliOrder: 7;StimuliOrder: 8;StimuliOrder: 9;StimuliOrder: 10;StimuliOrder: 11;StimuliOrder: 12;StimuliOrder: 13;StimuliOrder: 14;StimuliOrder: 15;01_CAS_variation: page1;01_CAS_variation: page2;01_CAS_variation: page3;01_CAS_variation: page4;01_CAS_variation: page5;01_CAS_variation: page6;01_CAS_variation: page7;01_CAS_variation: page8;01_CAS_variation: page9;01_CAS_variation: page10;01_CAS_variation: page11;01_CAS_variation: page12;01_CAS_variation: page13;01_CAS_variation: page14;01_CAS_variation: page15;Manipulation_variation: page 1;Manipulation_variation: page 2;Manipulation_variation: page 3;Manipulation_variation: page 4;Time spent on page 1;Time spent on page 2;Time spent on page 3;Time spent on page 4;Time spent on page 5;Time spent on page 6;Time spent on page 7;Time spent on page 8;Time spent on page 9;Time spent on page 10;Time spent on page 11;Time spent on page 12;Time spent on page 13;Time spent on page 14;Time spent on page 15;Time spent on page 16;Time spent on page 17;Time spent on page 18;Time spent on page 19;Time spent on page 20;Time spent on page 21;Time spent on page 22;Time spent overall (except outliers);Time when the invitation mailing was sent (personally identifiable recipients, only);Time when the data was most recently updated;Interview status marker;Has the interview been finished (reached last page)?;Did the respondent only view the questionnaire, omitting mandatory questions?;Last page that the participant has handled in the questionnaire;Hindmost page handled by the participant;Missing answers in percent;Missing answers (weighted by relevance);Completion Speed (relative)
21;;;starting_point;interview;2025-02-21 16:55:22;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;3;;;;;;;;;;;;;;;;;;;;;9;;2025-02-21 16:55:31;;0;0;2;2;0;0;1,75
22;CASE000021;21;group2;interview;2025-02-21 16:55:31;12;2;;5;;4;5;3;2;1;1;1;2;1;2;6;7;2;7;6;7;7;1;7;6;2;2;7;7;7;;6;2;2;2;2;2;2;6;2;2;2;2;2;2;4;2;1;2;1;2;2;2;1;1;1;1;2;2;;;13;14;12;5;8;11;6;2;4;1;9;15;10;7;3;card_13_heroic.jpg;card_14_nothing.jpg;card_12_cute.jpg;card_5_nothing.jpg;card_8_nothing.jpg;card_11_nothing.jpg;card_6_cute.jpg;card_2_nothing.jpg;card_4_heroic.jpg;card_1_heroic.png;card_9_cute.jpg;card_15_cute.jpg;card_10_heroic.jpg;card_7_heroic.jpg;card_3_cute.png;MC_card_1_cute.png;MC_card_2_heroic.png;MC_card_2_cute.png;MC_card_1_heroic.png;25;29;19;17;23;18;15;21;19;13;18;15;17;19;11;10;11;6;5;3;2;4;320;;2025-02-21 17:00:51;;1;0;22;22;19;4;1,31
23;;;starting_point;interview;2025-02-21 16:55:39;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;3;;;;;;;;;;;;;;;;;;;;;12;;2025-02-21 16:55:51;;0;0;2;2;0;0;1,39
25;CASE000023;23;group1;interview;2025-02-21 16:55:51;21;2;;4;;2;5;2;1;1;1;1;2;2;1;4;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;1;8;5;6;7;11;12;14;13;15;3;9;10;card_2_heroic.jpg;card_4_cute.png;card_1_cute.png;;;;;;;;;;;;;;;;;18;54;38;;;;;;;;;;;;;;;;;;;;110;;2025-02-21 16:57:41;;0;0;3;3;13;3;
26;;;starting_point;interview;2025-02-21 16:56:28;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;3;;;;;;;;;;;;;;;;;;;;;9;;2025-02-21 16:56:37;;0;0;2;2;0;0;1,75
27;;;starting_point;interview;2025-02-21 16:56:29;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;7;;;;;;;;;;;;;;;;;;;;;8;;2025-02-21 16:56:37;;0;0;2;2;0;0;1,79
28;CASE000026;26;group3;interview;2025-02-21 16:56:37;12;2;;5;;4;5;5;2;2;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;AI generated images and cards are weird;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;;;15;6;8;3;2;1;14;11;7;12;13;9;10;5;4;card_15_heroic.jpg;card_6_heroic.jpg;card_8_cute.jpg;card_3_heroic.png;card_2_cute.png;card_1_nothing.jpg;card_14_cute.jpg;card_11_cute.jpg;card_7_nothing.jpg;card_12_heroic.jpg;card_13_nothing.jpg;card_9_heroic.jpg;card_10_nothing.jpg;card_5_cute.jpg;card_4_nothing.jpg;MC_card_2_heroic.png;MC_card_1_cute.png;MC_card_1_heroic.png;MC_card_2_cute.png;30;26;21;9;9;10;11;7;10;10;6;8;8;7;9;9;14;3;4;1;13;13;238;;2025-02-21 17:00:36;;1;0;22;22;0;0;
29;CASE000027;27;group2;interview;2025-02-21 16:56:37;31;2;;5;;4;5;1;1;1;1;1;1;2;1;6;6;1;6;4;3;2;2;3;3;4;4;4;3;4;I only want AI generating game content if it's verified to be trained on data that was opted-in.;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1;1;;;11;10;1;6;15;9;12;2;13;3;5;14;4;8;7;card_11_nothing.jpg;card_10_heroic.jpg;card_1_heroic.png;card_6_cute.jpg;card_15_cute.jpg;card_9_cute.jpg;card_12_cute.jpg;card_2_nothing.jpg;card_13_heroic.jpg;card_3_cute.png;card_5_nothing.jpg;card_14_nothing.jpg;card_4_heroic.jpg;card_8_nothing.jpg;card_7_heroic.jpg;MC_card_1_cute.png;MC_card_2_heroic.png;MC_card_1_heroic.png;MC_card_2_cute.png;28;57;24;24;33;24;16;18;17;23;20;45;36;18;33;31;20;15;10;14;104;16;626;;2025-02-21 17:07:03;;1;0;22;22;17;4;1,02
31;;;starting_point;interview;2025-02-21 16:59:41;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;6;;;;;;;;;;;;;;;;;;;;;25;;2025-02-21 17:00:06;;0;0;2;2;0;0;0,68
33;CASE000031;31;group3;interview;2025-02-21 17:00:06;5;3;;5;;2;5;2;2;1;1;1;1;1;2;3;2;3;3;3;1;3;2;4;2;1;5;2;3;3;ai art sucks;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;2;1;;;9;15;5;11;14;12;7;2;8;3;1;4;13;10;6;card_9_heroic.jpg;card_15_heroic.jpg;card_5_cute.jpg;card_11_cute.jpg;card_14_cute.jpg;card_12_heroic.jpg;card_7_nothing.jpg;card_2_cute.png;card_8_cute.jpg;card_3_heroic.png;card_1_nothing.jpg;card_4_nothing.jpg;card_13_nothing.jpg;card_10_nothing.jpg;card_6_heroic.jpg;MC_card_2_cute.png;MC_card_1_heroic.png;MC_card_2_heroic.png;MC_card_1_cute.png;28;76;40;261;95;152;48;162;68;91;35;78;185;60;93;145;76;32;21;31;10;39;1826;;2025-02-21 17:30:32;;1;0;22;22;6;1;
34;;;starting_point;interview;2025-02-21 17:00:39;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;7;;;;;;;;;;;;;;;;;;;;;15;;2025-02-21 17:00:54;;0;0;2;2;0;0;1,10
35;CASE000034;34;group1;interview;2025-02-21 17:00:54;28;2;;4;;4;5;2;1;1;1;1;1;2;2;5;4;6;3;2;3;3;4;5;4;4;2;6;4;6;;2;1;2;1;1;1;2;2;2;1;2;1;1;1;2;1;1;1;2;1;2;3;2;1;2;1;1;2;;;14;10;5;9;12;13;15;8;11;2;3;1;4;7;6;card_14_heroic.jpg;card_10_cute.jpg;card_5_heroic.jpg;card_9_nothing.jpg;card_12_nothing.jpg;card_13_cute.jpg;card_15_nothing.jpg;card_8_heroic.jpg;card_11_heroic.jpg;card_2_heroic.jpg;card_3_nothing.jpg;card_1_cute.png;card_4_cute.png;card_7_cute.jpg;card_6_nothing.jpg;MC_card_2_heroic.png;MC_card_1_cute.png;MC_card_1_heroic.png;MC_card_2_cute.png;25;54;29;44;19;26;27;28;45;27;21;23;26;26;24;25;10;8;9;10;3;;509;;2025-02-21 17:09:23;;0;0;21;21;19;4;
37;;;starting_point;interview;2025-02-21 17:03:21;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;3;;;;;;;;;;;;;;;;;;;;;24;;2025-02-21 17:03:45;;0;0;2;2;0;0;0,98
38;CASE000037;37;group1;interview;2025-02-21 17:03:45;13;2;;5;;4;5;1;1;1;1;2;1;1;1;1;6;4;3;3;5;2;4;4;5;6;3;2;5;4;;2;1;2;1;1;1;2;3;2;1;2;1;1;2;2;1;2;1;1;1;2;3;2;1;2;1;2;1;;;12;10;7;15;14;6;9;3;8;11;13;2;1;4;5;card_12_nothing.jpg;card_10_cute.jpg;card_7_cute.jpg;card_15_nothing.jpg;card_14_heroic.jpg;card_6_nothing.jpg;card_9_nothing.jpg;card_3_nothing.jpg;card_8_heroic.jpg;card_11_heroic.jpg;card_13_cute.jpg;card_2_heroic.jpg;card_1_cute.png;card_4_cute.png;card_5_heroic.jpg;MC_card_1_heroic.png;MC_card_2_cute.png;MC_card_2_heroic.png;MC_card_1_cute.png;15;83;40;28;39;39;43;18;63;34;34;31;16;22;29;92;15;14;11;8;11;13;698;;2025-02-21 17:15:23;;1;0;22;22;15;3;
39;;;starting_point;interview;2025-02-21 17:10:01;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;8;;;;;;;;;;;;;;;;;;;;;18;;2025-02-21 17:10:19;;0;0;2;2;0;0;0,90
40;CASE000039;39;group2;interview;2025-02-21 17:10:19;15;2;;3;;4;5;3;2;1;2;1;1;2;1;4;4;6;6;7;5;6;4;3;4;4;4;7;5;6;no ai art for cards. Hire real artist;1;1;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;1;1;2;1;2;1;1;1;1;1;;;13;5;3;6;14;4;1;9;12;7;2;10;8;15;11;card_13_heroic.jpg;card_5_nothing.jpg;card_3_cute.png;card_6_cute.jpg;card_14_nothing.jpg;card_4_heroic.jpg;card_1_heroic.png;card_9_cute.jpg;card_12_cute.jpg;card_7_heroic.jpg;card_2_nothing.jpg;card_10_heroic.jpg;card_8_nothing.jpg;card_15_cute.jpg;card_11_nothing.jpg;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_heroic.png;MC_card_2_cute.png;23;52;55;42;26;24;20;23;17;20;43;29;16;34;29;35;24;6;8;8;17;7;558;;2025-02-21 17:19:37;;1;0;22;22;15;3;0,92
41;;;starting_point;interview;2025-02-21 17:42:33;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;3;;;;;;;;;;;;;;;;;;;;;18;;2025-02-21 17:42:51;;0;0;2;2;0;0;1,10
42;CASE000041;41;group3;interview;2025-02-21 17:42:51;24;3;;3;;2;5;2;1;1;1;1;1;2;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;3;9;4;6;5;7;11;14;12;2;10;13;1;8;card_15_heroic.jpg;card_3_heroic.png;;;;;;;;;;;;;;;;;;30;41;;;;;;;;;;;;;;;;;;;;;71;;2025-02-21 17:44:02;;0;0;2;2;9;2;
44;;;starting_point;interview;2025-02-22 08:27:29;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;4;;;;;;;;;;;;;;;;;;;;;29;;2025-02-22 08:27:58;;0;0;2;2;0;0;0,76
45;CASE000044;44;group3;interview;2025-02-22 08:27:58;13;2;;5;;4;5;5;2;2;2;1;2;1;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;3;4;9;6;11;1;14;7;5;12;15;2;13;10;card_8_cute.jpg;card_3_heroic.png;;;;;;;;;;;;;;;;;;26;57;;;;;;;;;;;;;;;;;;;;;83;;2025-02-22 08:29:21;;0;0;2;2;9;2;
56;;;starting_point;interview;2025-02-22 13:08:38;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;6;;;;;;;;;;;;;;;;;;;;;48;;2025-02-22 13:09:26;;0;0;2;2;0;0;0,49
57;CASE000056;56;group1;interview;2025-02-22 13:09:26;17;2;;4;;4;5;1;1;1;2;1;1;1;1;4;2;1;2;4;2;3;6;2;3;3;3;4;4;3;;2;1;2;1;1;1;2;2;1;2;1;1;1;2;2;2;1;2;1;1;1;2;2;1;1;1;2;1;;;3;12;1;5;7;10;13;4;2;14;15;11;8;6;9;card_3_nothing.jpg;card_12_nothing.jpg;card_1_cute.png;card_5_heroic.jpg;card_7_cute.jpg;card_10_cute.jpg;card_13_cute.jpg;card_4_cute.png;card_2_heroic.jpg;card_14_heroic.jpg;card_15_nothing.jpg;card_11_heroic.jpg;card_8_heroic.jpg;card_6_nothing.jpg;card_9_nothing.jpg;MC_card_1_heroic.png;MC_card_2_heroic.png;MC_card_2_cute.png;MC_card_1_cute.png;28;490;23;20;18;23;15;14;17;10;15;13;2345;14;25;9;13;7;9;6;2;6;3122;;2025-02-22 14:01:29;;1;0;22;22;19;4;
58;;;starting_point;interview;2025-02-22 13:32:30;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;4;;;;;;;;;;;;;;;;;;;;;13;;2025-02-22 13:32:43;;0;0;2;2;0;0;1,22
