CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A001;A002;A002_04;A003_01;A004;A005_01;A006_01;A007;A007_01;A007_02;A007_03;A007_04;A007_05;A007_06;A007_07;A101_01;A102_01;A103_01;A104_01;A105_01;A106_01;A107_01;A108_01;A109_01;A110_01;A111_01;A112_01;A113_01;A114_01;A115_01;A177_01;A201;A201_01;A201_04;A201_02;A201_05;A201_03;A201_06;A202;A202_01;A202_04;A202_02;A202_05;A202_03;A202_06;A203;A203_01;A203_04;A203_02;A203_05;A203_03;A203_06;A204;A204_01;A204_04;A204_02;A204_05;A204_03;A204_06;RG01_CP;RG01;RG09_01;RG09_02;RG09_03;RG09_04;RG09_05;RG09_06;RG09_07;RG09_08;RG09_09;RG09_10;RG09_11;RG09_12;RG09_13;RG09_14;RG09_15;V101_01;V101_02;V101_03;V101_04;V101_05;V101_06;V101_07;V101_08;V101_09;V101_10;V101_11;V101_12;V101_13;V101_14;V101_15;V102_01;V102_02;V102_03;V102_04;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME018;TIME019;TIME020;TIME021;TIME022;TIME_SUM;MAILSENT;LASTDATA;STATUS;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI
59;CASE000058;58;group2;interview;2025-02-22 13:32:43;8;2;;5;;2;3;2;2;1;2;1;1;1;1;4;5;1;5;4;6;3;2;4;5;4;4;6;5;6;;2;1;1;1;2;1;2;2;2;1;2;1;1;1;2;1;1;1;2;1;2;2;2;1;2;1;1;1;;;6;10;15;11;3;13;2;12;9;7;4;8;14;1;5;card_6_cute.jpg;card_10_heroic.jpg;card_15_cute.jpg;card_11_nothing.jpg;card_3_cute.png;card_13_heroic.jpg;card_2_nothing.jpg;card_12_cute.jpg;card_9_cute.jpg;card_7_heroic.jpg;card_4_heroic.jpg;card_8_nothing.jpg;card_14_nothing.jpg;card_1_heroic.png;card_5_nothing.jpg;MC_card_2_heroic.png;MC_card_2_cute.png;MC_card_1_heroic.png;MC_card_1_cute.png;29;69;27;22;16;21;16;11;15;13;26;13;10;29;12;43;13;4;5;6;2;6;408;;2025-02-22 13:39:31;;1;0;22;22;19;4;1,24
60;;;starting_point;interview;2025-02-22 13:44:08;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;2;;;;;;;;;;;;;;;;;;;;;14;;2025-02-22 13:44:23;;0;0;2;2;0;0;1,54
61;CASE000060;60;group3;interview;2025-02-22 13:44:23;11;2;;5;;4;4;3;2;2;2;1;1;1;1;4;6;6;7;5;3;1;4;4;4;4;2;3;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;6;13;14;15;12;8;7;11;10;9;2;3;4;card_1_nothing.jpg;card_5_cute.jpg;card_6_heroic.jpg;card_13_nothing.jpg;card_14_cute.jpg;card_15_heroic.jpg;card_12_heroic.jpg;card_8_cute.jpg;card_7_nothing.jpg;card_11_cute.jpg;card_10_nothing.jpg;card_9_heroic.jpg;card_2_cute.png;card_3_heroic.png;card_4_nothing.jpg;MC_card_1_heroic.png;;;;34;60;69;273;45;51;20;24;33;24;19;30;13;18;19;15;;;;;;;747;;2025-02-22 13:56:50;;0;0;16;16;10;2;
62;;;starting_point;interview;2025-02-22 13:55:30;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;4;;;;;;;;;;;;;;;;;;;;;42;;2025-02-22 13:56:12;;0;0;2;2;0;0;0,67
63;CASE000062;62;group2;interview;2025-02-22 13:56:12;21;2;;5;;4;5;4;2;2;2;1;1;1;2;3;4;5;3;3;2;4;3;5;4;1;5;2;4;5;No real broken cards, just some limited bombs, and standard cards. Nothing beyond that.;3;1;2;1;2;1;2;3;2;1;2;1;2;1;2;2;1;1;2;1;1;3;1;2;1;2;1;2;;;3;14;11;15;7;13;9;10;4;2;1;5;12;6;8;card_3_cute.png;card_14_nothing.jpg;card_11_nothing.jpg;card_15_cute.jpg;card_7_heroic.jpg;card_13_heroic.jpg;card_9_cute.jpg;card_10_heroic.jpg;card_4_heroic.jpg;card_2_nothing.jpg;card_1_heroic.png;card_5_nothing.jpg;card_12_cute.jpg;card_6_cute.jpg;card_8_nothing.jpg;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_cute.png;MC_card_2_heroic.png;30;84;80;17;20;20;24;12;19;17;18;19;21;22;46;24;13;5;82;7;44;11;635;;2025-02-22 14:06:47;;1;0;22;22;17;4;1,03
64;;;starting_point;interview;2025-02-22 14:01:39;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;3;;;;;;;;;;;;;;;;;;;;;11;;2025-02-22 14:01:50;;0;0;2;2;0;0;1,48
65;CASE000064;64;group1;interview;2025-02-22 14:01:50;12;2;;5;;4;4;1;1;1;2;1;1;1;1;1;4;1;3;3;2;4;4;4;4;5;3;6;1;6;;1;1;1;1;1;1;2;3;2;1;2;1;2;1;2;1;2;1;1;1;2;2;1;2;1;1;1;2;;;1;4;14;9;12;15;3;11;5;8;10;7;6;2;13;card_1_cute.png;card_4_cute.png;card_14_heroic.jpg;card_9_nothing.jpg;card_12_nothing.jpg;card_15_nothing.jpg;card_3_nothing.jpg;card_11_heroic.jpg;card_5_heroic.jpg;card_8_heroic.jpg;card_10_cute.jpg;card_7_cute.jpg;card_6_nothing.jpg;card_2_heroic.jpg;card_13_cute.jpg;MC_card_2_cute.png;MC_card_1_cute.png;MC_card_1_heroic.png;MC_card_2_heroic.png;33;96;82;76;65;58;59;80;64;90;69;47;37;84;63;165;21;15;7;11;2;42;1266;;2025-02-22 14:22:57;;1;0;22;22;1;1;
69;;;starting_point;interview;2025-02-22 14:20:43;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;7;;;;;;;;;;;;;;;;;;;;;37;;2025-02-22 14:21:20;;0;0;2;2;0;0;0,50
70;CASE000069;69;group3;interview;2025-02-22 14:21:20;9;2;;5;;4;5;3;1;1;2;1;1;2;2;4;4;3;3;2;5;2;1;3;4;3;2;4;1;4;;2;1;2;1;1;1;2;2;2;1;2;1;1;1;2;1;2;1;1;1;2;3;2;1;2;1;2;1;;;6;5;13;8;2;3;7;12;14;11;15;9;4;1;10;card_6_heroic.jpg;card_5_cute.jpg;card_13_nothing.jpg;card_8_cute.jpg;card_2_cute.png;card_3_heroic.png;card_7_nothing.jpg;card_12_heroic.jpg;card_14_cute.jpg;card_11_cute.jpg;card_15_heroic.jpg;card_9_heroic.jpg;card_4_nothing.jpg;card_1_nothing.jpg;card_10_nothing.jpg;MC_card_2_heroic.png;MC_card_2_cute.png;MC_card_1_heroic.png;MC_card_1_cute.png;27;65;49;28;24;20;33;22;11;19;20;14;13;13;15;12;8;10;6;4;3;7;423;;2025-02-22 14:28:24;;1;0;22;22;19;4;
71;;;starting_point;interview;2025-02-22 14:23:20;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;6;;2025-02-22 14:23:26;;0;0;2;2;0;0;2,17
72;CASE000071;71;group2;interview;2025-02-22 14:23:26;22;2;;5;;4;4;3;2;2;2;1;1;1;1;4;6;4;2;2;1;1;3;2;4;4;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;6;7;12;14;15;3;13;2;9;4;11;1;10;5;card_8_nothing.jpg;card_6_cute.jpg;card_7_heroic.jpg;card_12_cute.jpg;card_14_nothing.jpg;card_15_cute.jpg;card_3_cute.png;card_13_heroic.jpg;card_2_nothing.jpg;card_9_cute.jpg;card_4_heroic.jpg;card_11_nothing.jpg;card_1_heroic.png;card_10_heroic.jpg;;;;;;21;59;41;23;18;18;19;21;27;14;19;20;43;15;;;;;;;;;358;;2025-02-22 14:29:24;;0;0;14;14;17;3;1,07
75;;;starting_point;interview;2025-02-22 17:35:33;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;3;;;;;;;;;;;;;;;;;;;;;8;;2025-02-22 17:35:41;;0;0;2;2;0;0;1,97
76;CASE000075;75;group1;interview;2025-02-22 17:35:41;11;2;;5;;4;4;3;2;2;2;1;1;1;1;4;2;5;4;4;3;4;4;2;3;4;1;4;4;5;I don't like the idea of generating magic cards with AI since none of the designs were really outstanding and I think humans are suited way better for this type of job. It requires a certain type of creativity that AI lacks.;2;1;2;1;1;1;2;1;1;2;1;1;1;1;3;2;1;2;1;2;1;3;2;1;2;1;2;1;;;10;15;13;14;1;4;8;11;9;2;3;12;7;6;5;card_10_cute.jpg;card_15_nothing.jpg;card_13_cute.jpg;card_14_heroic.jpg;card_1_cute.png;card_4_cute.png;card_8_heroic.jpg;card_11_heroic.jpg;card_9_nothing.jpg;card_2_heroic.jpg;card_3_nothing.jpg;card_12_nothing.jpg;card_7_cute.jpg;card_6_nothing.jpg;card_5_heroic.jpg;MC_card_2_heroic.png;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_cute.png;16;18;25;57;28;47;22;25;15;14;19;22;47;13;44;27;8;10;7;6;71;26;567;;2025-02-22 17:45:08;;1;0;22;22;12;2;
77;;;starting_point;interview;2025-02-22 18:42:13;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;3;;;;;;;;;;;;;;;;;;;;;16;;2025-02-22 18:43:46;;0;0;2;2;0;0;0,74
78;CASE000077;77;group2;interview;2025-02-22 18:43:46;9;2;;5;;4;5;3;2;1;2;1;1;1;2;3;5;4;1;4;5;5;5;4;1;1;3;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;11;9;12;8;4;6;5;7;1;2;15;3;10;14;card_13_heroic.jpg;card_11_nothing.jpg;card_9_cute.jpg;card_12_cute.jpg;card_8_nothing.jpg;card_4_heroic.jpg;card_6_cute.jpg;card_5_nothing.jpg;card_7_heroic.jpg;card_1_heroic.png;card_2_nothing.jpg;card_15_cute.jpg;card_3_cute.png;card_10_heroic.jpg;card_14_nothing.jpg;MC_card_1_cute.png;;;;38;314;208;16;71;28;35;48;113;27;37;16;27;19;15;16;;;;;;;429;;2025-02-22 19:00:54;;0;0;16;16;19;4;0,55
79;;;starting_point;interview;2025-02-23 09:27:20;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;5;;;;;;;;;;;;;;;;;;;;;51;;2025-02-23 09:28:11;;0;0;2;2;0;0;0,54
80;CASE000079;79;group1;interview;2025-02-23 09:28:11;13;2;;5;;4;5;1;1;1;1;2;1;1;1;6;6;3;1;4;3;4;4;4;2;5;5;4;4;6;;3;1;2;1;2;1;2;3;1;2;1;2;1;2;3;2;1;2;1;2;1;2;2;1;2;1;1;1;;;5;6;15;12;13;11;3;2;9;1;7;4;10;14;8;card_5_heroic.jpg;card_6_nothing.jpg;card_15_nothing.jpg;card_12_nothing.jpg;card_13_cute.jpg;card_11_heroic.jpg;card_3_nothing.jpg;card_2_heroic.jpg;card_9_nothing.jpg;card_1_cute.png;card_7_cute.jpg;card_4_cute.png;card_10_cute.jpg;card_14_heroic.jpg;card_8_heroic.jpg;MC_card_2_heroic.png;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_cute.png;62;170;54;42;31;36;54;24;52;24;31;41;20;30;40;34;16;10;8;15;3;53;850;;2025-02-23 09:42:21;;1;0;22;22;19;4;
92;;;starting_point;interview;2025-02-24 11:59:48;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;3;;;;;;;;;;;;;;;;;;;;;8;;2025-02-24 11:59:56;;0;0;2;2;0;0;1,97
93;CASE000092;92;group3;interview;2025-02-24 11:59:56;9;2;;5;;4;4;3;2;2;2;1;1;1;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;5;9;12;3;11;8;4;2;10;15;6;13;1;14;card_7_nothing.jpg;card_5_cute.jpg;;;;;;;;;;;;;;;;;;24;59;;;;;;;;;;;;;;;;;;;;;83;;2025-02-24 12:01:19;;0;0;2;2;9;2;
94;;;starting_point;interview;2025-02-24 12:19:46;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;7;;;;;;;;;;;;;;;;;;;;;9;;2025-02-24 12:19:55;;0;0;2;2;0;0;1,79
95;CASE000094;94;group2;interview;2025-02-24 12:19:55;8;2;;5;;4;5;4;1;2;2;2;2;1;1;3;6;4;5;5;4;3;5;2;2;6;5;3;4;2;;4;1;2;2;2;1;2;3;2;1;2;1;1;2;3;1;2;1;2;1;2;3;2;1;2;1;2;1;;;15;14;2;5;13;6;10;4;3;12;11;8;7;9;1;card_15_cute.jpg;card_14_nothing.jpg;card_2_nothing.jpg;card_5_nothing.jpg;card_13_heroic.jpg;card_6_cute.jpg;card_10_heroic.jpg;card_4_heroic.jpg;card_3_cute.png;card_12_cute.jpg;card_11_nothing.jpg;card_8_nothing.jpg;card_7_heroic.jpg;card_9_cute.jpg;card_1_heroic.png;MC_card_1_heroic.png;MC_card_2_cute.png;MC_card_2_heroic.png;MC_card_1_cute.png;15;49;22;13;24;22;29;128;20;21;84;19;39;63;11;24;11;14;5;6;2;550;1064;;2025-02-24 12:39:26;;1;0;22;22;19;4;1,09
96;;;starting_point;interview;2025-02-24 12:24:22;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;5;;;;;;;;;;;;;;;;;;;;;19;;2025-02-24 12:24:41;;0;0;2;2;0;0;0,86
97;CASE000096;96;group1;interview;2025-02-24 12:24:41;9;2;;5;;4;4;3;2;2;2;1;1;1;1;2;3;5;3;3;3;4;2;4;4;1;2;4;2;4;;2;2;1;1;1;2;1;1;1;1;1;2;1;1;2;2;1;2;1;1;1;1;1;2;1;1;1;1;;;13;10;2;8;15;7;11;14;9;6;12;1;4;5;3;card_13_cute.jpg;card_10_cute.jpg;card_2_heroic.jpg;card_8_heroic.jpg;card_15_nothing.jpg;card_7_cute.jpg;card_11_heroic.jpg;card_14_heroic.jpg;card_9_nothing.jpg;card_6_nothing.jpg;card_12_nothing.jpg;card_1_cute.png;card_4_cute.png;card_5_heroic.jpg;card_3_nothing.jpg;MC_card_1_cute.png;MC_card_1_heroic.png;MC_card_2_cute.png;MC_card_2_heroic.png;27;415;116;142;116;99;81;76;86;62;55;56;119;79;98;129;25;34;14;16;2;29;1876;;2025-02-24 12:55:57;;1;0;22;22;19;4;
112;;;starting_point;interview;2025-02-26 20:10:04;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;400;3;;;;;;;;;;;;;;;;;;;;;16;;2025-02-26 20:16:47;;0;0;2;2;0;0;0,68
115;;;starting_point;interview;2025-02-26 20:44:35;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;4;;;;;;;;;;;;;;;;;;;;;14;;2025-02-26 20:44:49;;0;0;2;2;0;0;1,15
116;CASE000115;115;group1;interview;2025-02-26 20:44:49;13;2;;5;;4;5;3;2;2;2;1;1;1;1;6;3;6;4;4;2;4;1;3;5;4;1;6;2;5;all of the ai generated slop art takes away from the cards tremendously. you need real art to make a beloved card;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;;;4;2;6;8;15;13;9;1;7;11;10;12;5;14;3;card_4_cute.png;card_2_heroic.jpg;card_6_nothing.jpg;card_8_heroic.jpg;card_15_nothing.jpg;card_13_cute.jpg;card_9_nothing.jpg;card_1_cute.png;card_7_cute.jpg;card_11_heroic.jpg;card_10_cute.jpg;card_12_nothing.jpg;card_5_heroic.jpg;card_14_heroic.jpg;card_3_nothing.jpg;MC_card_1_cute.png;MC_card_2_cute.png;MC_card_2_heroic.png;MC_card_1_heroic.png;32;66;48;58;64;55;41;42;46;53;52;37;26;50;36;27;66;13;6;14;56;18;906;;2025-02-26 20:59:55;;1;0;22;22;17;4;
117;;;starting_point;interview;2025-02-26 20:45:54;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;5;;;;;;;;;;;;;;;;;;;;;37;;2025-02-26 20:46:31;;0;0;2;2;0;0;0,60
118;CASE000117;117;group3;interview;2025-02-26 20:46:31;25;2;;5;;4;5;2;1;1;2;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;9;14;2;3;12;13;8;15;10;11;1;4;5;7;card_6_heroic.jpg;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;26;;2025-02-26 20:46:57;;0;0;1;1;0;0;
119;;;starting_point;interview;2025-02-26 20:47:39;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;6;;;;;;;;;;;;;;;;;;;;;38;;2025-02-26 20:48:17;;0;0;2;2;0;0;0,54
120;CASE000119;119;group2;interview;2025-02-26 20:48:17;17;3;;4;;4;5;2;1;1;1;2;2;1;1;7;7;7;6;7;7;4;5;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;7;3;5;8;6;9;15;14;11;10;2;1;13;12;card_4_heroic.jpg;card_7_heroic.jpg;card_3_cute.png;card_5_nothing.jpg;card_8_nothing.jpg;card_6_cute.jpg;card_9_cute.jpg;card_15_cute.jpg;card_14_nothing.jpg;card_11_nothing.jpg;;;;;;;;;;40;92;36;28;37;56;35;24;33;35;;;;;;;;;;;;;367;;2025-02-26 20:55:13;;0;0;10;10;18;4;0,66
121;;;starting_point;interview;2025-02-26 20:50:33;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;6;;2025-02-26 20:50:39;;0;0;2;2;0;0;2,17
125;;;starting_point;interview;2025-02-26 20:57:17;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;3;;;;;;;;;;;;;;;;;;;;;17;;2025-02-26 20:57:34;;0;0;2;2;0;0;1,13
126;CASE000125;125;group2;interview;2025-02-26 20:57:34;9;2;;4;;4;5;3;2;1;2;1;1;2;1;1;7;3;4;1;1;6;2;4;1;4;2;4;1;3;Using AI to churn out incoherent, badly balanced, uncreative cards is questionable. Using AI to replace artists is reprehensible.;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;;;12;14;7;13;5;15;10;3;4;1;11;6;9;2;8;card_12_cute.jpg;card_14_nothing.jpg;card_7_heroic.jpg;card_13_heroic.jpg;card_5_nothing.jpg;card_15_cute.jpg;card_10_heroic.jpg;card_3_cute.png;card_4_heroic.jpg;card_1_heroic.png;card_11_nothing.jpg;card_6_cute.jpg;card_9_cute.jpg;card_2_nothing.jpg;card_8_nothing.jpg;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_cute.png;MC_card_2_heroic.png;18;28;21;51;27;33;14;20;15;17;17;15;23;16;16;23;10;7;7;46;51;14;461;;2025-02-26 21:05:43;;1;0;22;22;17;4;1,19
128;;;starting_point;interview;2025-02-26 21:04:39;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;5;;;;;;;;;;;;;;;;;;;;;32;;2025-02-26 21:05:11;;0;0;2;2;0;0;0,64
129;CASE000128;128;group3;interview;2025-02-26 21:05:11;19;4;Animorph cylinder groundhog husky;4;;4;5;1;1;1;2;1;1;1;1;5;3;4;4;4;3;6;3;6;6;4;4;4;4;1;No;2;1;1;1;2;1;2;2;2;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;;;3;12;9;13;4;2;6;15;5;14;8;10;11;7;1;card_3_heroic.png;card_12_heroic.jpg;card_9_heroic.jpg;card_13_nothing.jpg;card_4_nothing.jpg;card_2_cute.png;card_6_heroic.jpg;card_15_heroic.jpg;card_5_cute.jpg;card_14_cute.jpg;card_8_cute.jpg;card_10_nothing.jpg;card_11_cute.jpg;card_7_nothing.jpg;card_1_nothing.jpg;MC_card_1_heroic.png;MC_card_2_cute.png;MC_card_1_cute.png;MC_card_2_heroic.png;222;111;62;77;41;24;32;90;176;79;37;78;283;145;259;69;26;10;5;11;4;18;1859;;2025-02-26 21:36:10;;1;0;22;22;11;2;
