CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A001;A002;A003_01;A004;A005_01;A006_01;A007;A007_01;A007_02;A007_03;A007_04;A007_05;A007_06;A007_07;A101_01;A102_01;A103_01;A104_01;A105_01;A106_01;A107_01;A108_01;A109_01;A110_01;A111_01;A112_01;A113_01;A114_01;A115_01;A177_01;A201;A201_01;A201_04;A201_02;A201_05;A201_03;A201_06;A202;A202_01;A202_04;A202_02;A202_05;A202_03;A202_06;A203;A203_01;A203_04;A203_02;A203_05;A203_03;A203_06;A204;A204_01;A204_04;A204_02;A204_05;A204_03;A204_06;RG01_CP;RG01;RG09_01;RG09_02;RG09_03;RG09_04;RG09_05;RG09_06;RG09_07;RG09_08;RG09_09;RG09_10;RG09_11;RG09_12;RG09_13;RG09_14;RG09_15;V101_01;V101_02;V101_03;V101_04;V101_05;V101_06;V101_07;V101_08;V101_09;V101_10;V101_11;V101_12;V101_13;V101_14;V101_15;V102_01;V102_02;V102_03;V102_04;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME018;TIME019;TIME020;TIME021;TIME022;TIME_SUM;MAILSENT;LASTDATA;STATUS;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI
Interview number (sequential);Serial number (if provided);Reference (if provided in link);Questionnaire that has been used in the interview;Interview mode;Time the interview has started (Europe/Berlin);Age;Gender;Experience: My experience can be described as;Knows Magic;Time Playing Magic: I have played MTG for;English Understanding: [No Description] 01;MTG formats: Residual option (negative) or number of selected options;MTG formats: Standard;MTG formats: Pioneer;MTG formats: Modern;MTG formats: Legacy;MTG formats: Pauper;MTG formats: Commander;MTG formats: Limited;01_Perceived Card Strength: I think the card is;02_Perceived Card Strength: I think the card is;03_Perceived Card Strength: I think the card is;04_Perceived Card Strength: I think the card is;05_Perceived Card Strength: I think the card is;06_Perceived Card Strength: I think the card is;07_Perceived Card Strength: I think the card is;08_Perceived Card Strength: I think the card is;09_Perceived Card Strength: StreI think the card is;10_Perceived Card Strength: I think the card is;11_Perceived Card Strength: I think the card is;12_Perceived Card Strength: I think the card is;13_Perceived Card Strength: I think the card is;14_Perceived Card Strength: I think the card is;15_Perceived Card Strength: I think the card is;Final Comments: [01];01_Card Description: Residual option (negative) or number of selected options;01_Card Description: cute;01_Card Description: mighty;01_Card Description: friendly;01_Card Description: heroic;01_Card Description: harmless;01_Card Description: powerful;02_Card Description: Residual option (negative) or number of selected options;02_Card Description: cute;02_Card Description: mighty;02_Card Description: friendly;02_Card Description: heroic;02_Card Description: harmless;02_Card Description: powerful;03_Card Description: Residual option (negative) or number of selected options;03_Card Description: cute;03_Card Description: mighty;03_Card Description: friendly;03_Card Description: heroic;03_Card Description: harmless;03_Card Description: powerful;04_Card Description: Residual option (negative) or number of selected options;04_Card Description: cute;04_Card Description: mighty;04_Card Description: friendly;04_Card Description: heroic;04_Card Description: harmless;04_Card Description: powerful;Groups: Complete clearances of the ballot, yet;Groups: Code drawn;StimuliOrder: 1;StimuliOrder: 2;StimuliOrder: 3;StimuliOrder: 4;StimuliOrder: 5;StimuliOrder: 6;StimuliOrder: 7;StimuliOrder: 8;StimuliOrder: 9;StimuliOrder: 10;StimuliOrder: 11;StimuliOrder: 12;StimuliOrder: 13;StimuliOrder: 14;StimuliOrder: 15;01_CAS_variation: page1;01_CAS_variation: page2;01_CAS_variation: page3;01_CAS_variation: page4;01_CAS_variation: page5;01_CAS_variation: page6;01_CAS_variation: page7;01_CAS_variation: page8;01_CAS_variation: page9;01_CAS_variation: page10;01_CAS_variation: page11;01_CAS_variation: page12;01_CAS_variation: page13;01_CAS_variation: page14;01_CAS_variation: page15;Manipulation_variation: page 1;Manipulation_variation: page 2;Manipulation_variation: page 3;Manipulation_variation: page 4;Time spent on page 1;Time spent on page 2;Time spent on page 3;Time spent on page 4;Time spent on page 5;Time spent on page 6;Time spent on page 7;Time spent on page 8;Time spent on page 9;Time spent on page 10;Time spent on page 11;Time spent on page 12;Time spent on page 13;Time spent on page 14;Time spent on page 15;Time spent on page 16;Time spent on page 17;Time spent on page 18;Time spent on page 19;Time spent on page 20;Time spent on page 21;Time spent on page 22;Time spent overall (except outliers);Time when the invitation mailing was sent (personally identifiable recipients, only);Time when the data was most recently updated;Interview status marker;Has the interview been finished (reached last page)?;Did the respondent only view the questionnaire, omitting mandatory questions?;Last page that the participant has handled in the questionnaire;Hindmost page handled by the participant;Missing answers in percent;Missing answers (weighted by relevance);Completion Speed (relative)
124;;;starting_point;interview;2025-02-17 14:53:47;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;829;3;;;;;;;;;;;;;;;;;;;;;25;;2025-02-17 15:07:40;;0;0;2;2;0;0;0,85
125;CASE000124;124;group2;interview;2025-02-17 15:07:40;10;2;4;;2;2;5;2;2;1;1;2;2;2;7;6;2;6;3;4;4;2;6;1;3;3;3;4;4;;3;1;2;1;2;2;1;3;1;1;2;1;2;2;3;1;1;2;1;2;2;3;1;2;1;2;2;1;;;5;11;15;2;4;3;8;14;10;6;1;9;7;12;13;card_5_nothing.jpg;card_11_nothing.jpg;card_15_cute.jpg;card_2_nothing.jpg;card_4_heroic.jpg;card_3_cute.png;card_8_nothing.jpg;card_14_nothing.jpg;card_10_heroic.jpg;card_6_cute.jpg;card_1_heroic.png;card_9_cute.jpg;card_7_heroic.jpg;card_12_cute.jpg;card_13_heroic.jpg;MC_card_2_cute.png;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_heroic.png;15;112;11;26;160;5;7;40;5;5;6;4;4;5;4;4;4;3;3;2;2;39;466;;2025-02-17 15:15:26;;1;0;22;22;19;5;2,42
127;;;starting_point;interview;2025-02-18 10:23:05;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;5;;;;;;;;;;;;;;;;;;;;;11;;2025-02-18 10:23:16;;0;0;2;2;0;0;2,00
128;CASE000127;127;group1;interview;2025-02-18 10:23:16;7;2;5;;4;5;4;2;2;2;1;1;2;1;3;2;1;3;4;2;4;3;4;3;1;2;7;4;4;Cool cards the art is sadly not at all my kind of tea;3;1;2;1;2;1;2;2;2;1;1;1;2;1;2;1;2;1;1;1;2;2;2;1;1;1;2;1;;;4;13;1;6;14;9;3;11;8;2;12;7;5;10;15;card_4_cute.png;card_13_cute.jpg;card_1_cute.png;card_6_nothing.jpg;card_14_heroic.jpg;card_9_nothing.jpg;card_3_nothing.jpg;card_11_heroic.jpg;card_8_heroic.jpg;card_2_heroic.jpg;card_12_nothing.jpg;card_7_cute.jpg;card_5_heroic.jpg;card_10_cute.jpg;card_15_nothing.jpg;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_heroic.png;MC_card_2_cute.png;28;263;54;449;101;155;84;878;27;53;171;14;34;45;22;25;11;12;5;8;20;15;791;;2025-02-18 11:04:31;;1;0;22;22;7;2;0,84
132;;;starting_point;interview;2025-02-18 10:53:55;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;3;;;;;;;;;;;;;;;;;;;;;32;;2025-02-18 10:54:27;;0;0;2;2;0;0;1,20
133;CASE000132;132;group3;interview;2025-02-18 10:54:27;18;1;4;;2;4;4;1;2;1;1;2;2;2;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;"I don't want to be mean, but honestly, I have zero interest in playing or rating any AI generated slop. Nobody put any thought into these so why should I? The moment Mtg starts doing things like this I will just quit the game. This has nothing to do with gamedesign or art. Also unless you know exactly that your image generator was trained with not-stolen data using these images is super unethical and unprofessional for a ""scientific"" study.";6;2;2;2;2;2;2;6;2;2;2;2;2;2;6;2;2;2;2;2;2;6;2;2;2;2;2;2;;;4;11;12;15;14;13;7;3;5;9;6;10;2;8;1;card_4_nothing.jpg;card_11_cute.jpg;card_12_heroic.jpg;card_15_heroic.jpg;card_14_cute.jpg;card_13_nothing.jpg;card_7_nothing.jpg;card_3_heroic.png;card_5_cute.jpg;card_9_heroic.jpg;card_6_heroic.jpg;card_10_nothing.jpg;card_2_cute.png;card_8_cute.jpg;card_1_nothing.jpg;MC_card_1_heroic.png;MC_card_2_cute.png;MC_card_2_heroic.png;MC_card_1_cute.png;24;59;47;471;19;7;14;8;12;10;6;8;6;6;9;6;24;5;4;4;223;7;328;;2025-02-18 11:10:47;;1;0;22;22;16;4;2,24
136;;;starting_point;interview;2025-02-18 11:06:26;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;3;;;;;;;;;;;;;;;;;;;;;32;;2025-02-18 11:06:58;;0;0;2;2;0;0;1,20
137;CASE000136;136;group2;interview;2025-02-18 11:06:58;7;2;5;;4;5;2;2;1;2;1;1;1;1;5;3;4;5;5;4;1;4;4;3;4;5;4;4;2;"When I chose ""No"" for ""If I would play that card in my deck?"" this only counts for Constructed, Standard and older formats. In Limited (Sealed / Draft) I'd happily play most of them, as written in each comment";3;1;2;1;2;1;2;3;2;1;2;1;2;1;5;2;2;2;1;2;2;3;1;2;1;2;1;2;;;4;14;5;6;3;11;1;15;7;2;10;8;13;9;12;card_4_heroic.jpg;card_14_nothing.jpg;card_5_nothing.jpg;card_6_cute.jpg;card_3_cute.png;card_11_nothing.jpg;card_1_heroic.png;card_15_cute.jpg;card_7_heroic.jpg;card_2_nothing.jpg;card_10_heroic.jpg;card_8_nothing.jpg;card_13_heroic.jpg;card_9_cute.jpg;card_12_cute.jpg;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_cute.png;MC_card_2_heroic.png;33;172;140;465;553;149;70;70;329;462;134;157;120;136;117;84;19;9;26;10;78;21;1387;;2025-02-18 12:02:54;;1;0;22;22;0;0;0,41
139;;;starting_point;interview;2025-02-18 11:30:21;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;;;;;;;;;;;;;;;;;;;;;6;;2025-02-18 11:30:27;;0;0;2;2;0;0;2,13
140;CASE000139;139;group1;interview;2025-02-18 11:30:27;9;2;4;;4;4;3;1;1;2;1;2;2;1;4;6;6;6;3;2;4;4;2;5;5;7;5;6;4;;3;1;2;1;2;1;2;2;1;2;1;1;1;2;2;1;1;2;1;2;1;2;2;1;1;1;2;1;;;8;4;14;11;2;7;3;10;12;15;9;5;1;6;13;card_8_heroic.jpg;card_4_cute.png;card_14_heroic.jpg;card_11_heroic.jpg;card_2_heroic.jpg;card_7_cute.jpg;card_3_nothing.jpg;card_10_cute.jpg;card_12_nothing.jpg;card_15_nothing.jpg;card_9_nothing.jpg;card_5_heroic.jpg;card_1_cute.png;card_6_nothing.jpg;card_13_cute.jpg;MC_card_1_heroic.png;MC_card_2_heroic.png;MC_card_1_cute.png;MC_card_2_cute.png;26;109;33;22;16;14;16;32;17;22;16;16;33;23;25;17;9;10;8;8;2;17;491;;2025-02-18 11:38:39;;1;0;22;22;14;3;1,51
141;;;starting_point;interview;2025-02-18 12:03:13;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;3;;;;;;;;;;;;;;;;;;;;;14;;2025-02-18 12:03:27;;0;0;2;2;0;0;1,81
142;CASE000141;141;group2;interview;2025-02-18 12:03:27;12;2;2;;1;4;1;2;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;13;14;5;15;10;4;11;6;2;9;7;12;8;1;card_3_cute.png;;;;;;;;;;;;;;;;;;;29;4998;;;;;;;;;;;;;;;;;;;;;124;;2025-02-18 13:27:14;;0;0;2;2;0;0;0,56
148;;;starting_point;interview;2025-02-18 12:08:42;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37;4;;;;;;;;;;;;;;;;;;;;;41;;2025-02-18 12:09:23;;0;0;2;2;0;0;0,92
149;CASE000148;148;group1;interview;2025-02-18 12:09:23;17;2;3;;3;5;1;2;1;1;1;1;1;1;5;6;5;6;7;7;5;5;5;5;4;6;6;6;4;;3;2;1;2;1;2;1;3;1;2;1;2;1;2;3;2;1;2;1;2;1;2;1;2;1;1;1;2;;;13;4;10;2;5;14;7;15;12;6;1;11;8;3;9;card_13_cute.jpg;card_4_cute.png;card_10_cute.jpg;card_2_heroic.jpg;card_5_heroic.jpg;card_14_heroic.jpg;card_7_cute.jpg;card_15_nothing.jpg;card_12_nothing.jpg;card_6_nothing.jpg;card_1_cute.png;card_11_heroic.jpg;card_8_heroic.jpg;card_3_nothing.jpg;card_9_nothing.jpg;MC_card_1_cute.png;MC_card_2_heroic.png;MC_card_2_cute.png;MC_card_1_heroic.png;45;133;85;68;61;94;74;69;161;244;301;45;60;70;237;19;19;7;11;11;3;6239;991;;2025-02-18 14:23:39;;1;0;22;22;19;5;0,59
153;;;starting_point;interview;2025-02-18 12:39:48;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;3;;;;;;;;;;;;;;;;;;;;;30;;2025-02-18 12:40:18;;0;0;2;2;0;0;1,23
154;CASE000153;153;group3;interview;2025-02-18 12:40:18;5;2;3;;4;5;2;1;2;1;1;1;2;1;6;5;5;7;4;6;7;4;4;6;6;4;5;4;4;I am mostly a commander player, so ranking these in comparison was a bit harder than I thought;3;1;2;1;2;1;2;2;2;1;2;1;1;1;3;1;2;1;2;1;2;3;2;1;2;1;2;1;;;7;8;12;10;6;1;5;2;3;13;14;15;11;9;4;card_7_nothing.jpg;card_8_cute.jpg;card_12_heroic.jpg;card_10_nothing.jpg;card_6_heroic.jpg;card_1_nothing.jpg;card_5_cute.jpg;card_2_cute.png;card_3_heroic.png;card_13_nothing.jpg;card_14_cute.jpg;card_15_heroic.jpg;card_11_cute.jpg;card_9_heroic.jpg;card_4_nothing.jpg;MC_card_1_heroic.png;MC_card_2_cute.png;MC_card_2_heroic.png;MC_card_1_cute.png;28;59;41;49;30;22;25;37;18;23;29;28;18;25;16;17;9;10;7;7;24;12;534;;2025-02-18 12:49:12;;1;0;22;22;10;2;1,36
163;;;starting_point;interview;2025-02-18 15:19:51;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2508;6;;;;;;;;;;;;;;;;;;;;;28;;2025-02-18 16:01:45;;0;0;2;2;0;0;0,42
170;;;starting_point;interview;2025-02-18 15:38:21;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;5;;;;;;;;;;;;;;;;;;;;;64;;2025-02-18 15:39:25;;0;0;2;2;0;0;0,68
171;;;starting_point;interview;2025-02-18 15:39:01;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;9;;;;;;;;;;;;;;;;;;;;;11;;2025-02-18 15:39:12;;0;0;2;2;0;0;1,78
172;CASE000171;171;group2;interview;2025-02-18 15:39:12;8;2;5;;4;4;2;1;1;2;2;1;1;1;3;6;4;3;4;4;5;2;3;6;5;2;3;1;2;;3;1;2;1;2;1;2;2;1;1;1;2;1;2;3;2;1;2;1;1;2;1;2;1;1;1;1;1;;;3;11;10;4;7;8;15;12;6;9;14;2;5;1;13;card_3_cute.png;card_11_nothing.jpg;card_10_heroic.jpg;card_4_heroic.jpg;card_7_heroic.jpg;card_8_nothing.jpg;card_15_cute.jpg;card_12_cute.jpg;card_6_cute.jpg;card_9_cute.jpg;card_14_nothing.jpg;card_2_nothing.jpg;card_5_nothing.jpg;card_1_heroic.png;card_13_heroic.jpg;MC_card_2_heroic.png;MC_card_1_heroic.png;MC_card_2_cute.png;MC_card_1_cute.png;34;63;46;28;25;34;117;34;24;29;20;43;20;25;62;23;8;8;10;8;10;14;608;;2025-02-18 15:50:37;;1;0;22;22;16;4;1,21
173;CASE000170;170;group3;interview;2025-02-18 15:39:25;20;2;4;;4;3;3;1;1;2;1;1;2;2;6;3;4;4;2;3;4;3;2;3;3;4;4;4;4;;2;1;2;1;1;1;2;3;2;1;2;1;2;1;2;2;1;1;1;1;2;2;1;2;1;1;1;2;;;6;15;13;12;2;7;10;3;5;1;9;4;14;11;8;card_6_heroic.jpg;card_15_heroic.jpg;card_13_nothing.jpg;card_12_heroic.jpg;card_2_cute.png;card_7_nothing.jpg;card_10_nothing.jpg;card_3_heroic.png;card_5_cute.jpg;card_1_nothing.jpg;card_9_heroic.jpg;card_4_nothing.jpg;card_14_cute.jpg;card_11_cute.jpg;card_8_cute.jpg;MC_card_1_heroic.png;MC_card_1_cute.png;MC_card_2_cute.png;MC_card_2_heroic.png;70;157;81;69;113;63;79;143;76;92;75;61;114;133;84;82;33;20;19;22;4;20;1335;;2025-02-18 16:06:16;;1;0;22;22;19;5;0,52
175;;;starting_point;interview;2025-02-18 15:41:00;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;7;;;;;;;;;;;;;;;;;;;;;32;;2025-02-18 15:41:32;;0;0;2;2;0;0;0,79
176;;;starting_point;interview;2025-02-18 15:41:01;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;124;9;;;;;;;;;;;;;;;;;;;;;31;;2025-02-18 15:43:14;;1;0;2;2;0;0;0,36
177;;;starting_point;interview;2025-02-18 15:41:15;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;7;;;;;;;;;;;;;;;;;;;;;11;;2025-02-18 15:41:26;;1;0;2;2;0;0;1,86
178;;;starting_point;interview;2025-02-18 15:41:21;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;;;;;;;;;;;;;;;;;;;;;14;;2025-02-18 15:41:35;;0;0;2;2;0;0;1,86
